date_added,property_type,price,location,city,latitude,longitude,baths,bedrooms,purpose,Area Type,Area Size,JS Bank,Askari Bank,Faisal Bank, Meezan Bank, Bank Al Habib Limited, Silk Bank, Bank Of Punjab, Sector B Park, Sector F Park, Rafi Park,Lakeview Children's Park, Eden Park,Overseas Park,Al-Shifa Clinic,Nazeer Begum Memorial Hospital,Modern Clinic Complex, Bahria International Hospital, B3 Healthcare Clinic, Begum Akhtar Memorial Hospital, Future World School and College, Dar e Arqam School Phase 8 Campus Bahria Town, Air foundation School System phase 8,Dr. Abdul-Qadeer Khan School and College, The Spirit School Bahria Town Campus,The Smart School Bahria Town campus
7/3/2019,House,8500000,Bahria Town Rawalpindi,Rawalpindi,33.48,73.07,4,4,For Sale,Marla,4.5,4.82,4.82,3,2.22,3.56,3,4.82,1.11,4.32,4.32,2.9,3.56,2.41,1.11,4.32,2.41,3,3.56,10.44,1.11,3.56,3,2.16,3.56,0.93
3/6/2019,House,8000000,Bahria Town Rawalpindi,Rawalpindi,33.47,73.06,4,4,For Sale,Marla,5,6.22,6.22,4.33,3.46,4.99,4.33,6.22,2.41,5.71,5.71,4.34,4.99,3.82,2.41,5.71,3.82,4.33,4.99,9.86,2.41,4.99,4.33,3.56,4.99,2.16
5/5/2019,House,8000000,Bahria Town Rawalpindi,Rawalpindi,33.48,73.06,3,3,For Sale,Marla,5,5.25,5.25,3.87,2.41,4.32,3.87,5.25,1.45,5.14,5.14,3.56,4.32,2.9,1.45,5.14,2.9,3.87,4.32,9.54,1.45,4.32,3.87,3,4.32,1.85
5/5/2019,House,8100000,Bahria Town Rawalpindi,Rawalpindi,33.48,73.06,3,3,For Sale,Marla,5,5.25,5.25,3.87,2.41,4.32,3.87,5.25,1.45,5.14,5.14,3.56,4.32,2.9,1.45,5.14,2.9,3.87,4.32,9.54,1.45,4.32,3.87,3,4.32,1.85
5/5/2019,House,8200000,Bahria Town Rawalpindi,Rawalpindi,33.48,73.06,3,3,For Sale,Marla,5,5.25,5.25,3.87,2.41,4.32,3.87,5.25,1.45,5.14,5.14,3.56,4.32,2.9,1.45,5.14,2.9,3.87,4.32,9.54,1.45,4.32,3.87,3,4.32,1.85
5/5/2019,House,8300000,Bahria Town Rawalpindi,Rawalpindi,33.48,73.06,3,3,For Sale,Marla,5,5.25,5.25,3.87,2.41,4.32,3.87,5.25,1.45,5.14,5.14,3.56,4.32,2.9,1.45,5.14,2.9,3.87,4.32,9.54,1.45,4.32,3.87,3,4.32,1.85
5/5/2019,House,8400000,Bahria Town Rawalpindi,Rawalpindi,33.48,73.06,3,3,For Sale,Marla,5,5.25,5.25,3.87,2.41,4.32,3.87,5.25,1.45,5.14,5.14,3.56,4.32,2.9,1.45,5.14,2.9,3.87,4.32,9.54,1.45,4.32,3.87,3,4.32,1.85
5/5/2019,House,8500000,Bahria Town Rawalpindi,Rawalpindi,33.48,73.06,3,3,For Sale,Marla,5,5.25,5.25,3.87,2.41,4.32,3.87,5.25,1.45,5.14,5.14,3.56,4.32,2.9,1.45,5.14,2.9,3.87,4.32,9.54,1.45,4.32,3.87,3,4.32,1.85
1/5/2019,House,8500000,Bahria Town Rawalpindi,Rawalpindi,33.48,73.06,4,4,For Sale,Marla,5,5.25,5.25,3.87,2.41,4.32,3.87,5.25,1.45,5.14,5.14,3.56,4.32,2.9,1.45,5.14,2.9,3.87,4.32,9.54,1.45,4.32,3.87,3,4.32,1.85
1/5/2019,House,8500000,Bahria Town Rawalpindi,Rawalpindi,33.48,73.06,4,4,For Sale,Marla,5,5.25,5.25,3.87,2.41,4.32,3.87,5.25,1.45,5.14,5.14,3.56,4.32,2.9,1.45,5.14,2.9,3.87,4.32,9.54,1.45,4.32,3.87,3,4.32,1.85
