property_type,price,location,latitude,longitude,baths,bedrooms,purpose,Area Type,Area Size,avg_banks_distance,avg_parks_distance,avg_hospitals_distance,avg_schools_distance
House,8500000,Bahria Town Rawalpindi,33.48,73.07,4,4,For Sale,Marla,4.5,3.57,3.10,4.14,2.39
House,8000000,Bahria Town Rawalpindi,33.47,73.06,4,4,For Sale,Marla,5,4.93,4.50,5.19,3.74
House,8000000,Bahria Town Rawalpindi,33.48,73.06,3,3,For Sale,Marla,5,4.16,3.75,4.54,3.14
House,8100000,Bahria Town Rawalpindi,33.48,73.06,3,3,For Sale,Marla,5,4.16,3.75,4.54,3.14
House,8200000,Bahria Town Rawalpindi,33.48,73.06,3,3,For Sale,Marla,5,4.16,3.75,4.54,3.14
House,8300000,Bahria Town Rawalpindi,33.48,73.06,3,3,For Sale,Marla,5,4.16,3.75,4.54,3.14
House,8400000,Bahria Town Rawalpindi,33.48,73.06,3,3,For Sale,Marla,5,4.16,3.75,4.54,3.14
House,8400000,Bahria Town Rawalpindi,33.48,73.06,3,3,For Sale,Marla,5,4.16,3.75,4.54,3.14
House,8500000,Bahria Town Rawalpindi,33.48,73.06,4,3,For Sale,Marla,5,4.16,3.75,4.54,3.14
House,8500000,Bahria Town Rawalpindi,33.48,73.06,3,3,For Sale,Marla,5,4.16,3.75,4.54,3.14
House,8500000,Bahria Town Rawalpindi,33.48,73.06,4,4,For Sale,Marla,5,4.16,3.75,4.54,3.14
House,8500000,Bahria Town Rawalpindi,33.48,73.06,4,4,For Sale,Marla,5,4.16,3.75,4.54,3.14
House,8500000,Bahria Town Rawalpindi,33.48,73.06,3,3,For Sale,Marla,5,4.16,3.75,4.54,3.14
House,8500000,Bahria Town Rawalpindi,33.48,73.06,4,4,For Sale,Marla,5,4.16,3.75,4.54,3.14
House,8500000,Bahria Town Rawalpindi,33.48,73.06,4,3,For Sale,Marla,5,4.16,3.75,4.54,3.14
House,8500000,Bahria Town Rawalpindi,33.48,73.06,3,3,For Sale,Marla,5,4.16,3.75,4.54,3.14
House,8500000,Bahria Town Rawalpindi,33.48,73.07,3,3,For Sale,Marla,5,3.57,3.10,4.14,2.39
House,8500000,Bahria Town Rawalpindi,33.48,73.07,4,3,For Sale,Marla,5,3.57,3.10,4.14,2.39
House,8500000,Bahria Town Rawalpindi,33.48,73.07,3,3,For Sale,Marla,5,3.57,3.10,4.14,2.39
House,8500000,Bahria Town Rawalpindi,33.48,73.07,4,4,For Sale,Marla,5,3.57,3.10,4.14,2.39
House,8500000,Bahria Town Rawalpindi,33.48,73.07,3,3,For Sale,Marla,5,3.57,3.10,4.14,2.39
House,8500000,Bahria Town Rawalpindi,33.48,73.07,4,3,For Sale,Marla,5,3.57,3.10,4.14,2.39
House,8500000,Bahria Town Rawalpindi,33.48,73.07,4,3,For Sale,Marla,5,3.57,3.10,4.14,2.39
House,8500000,Bahria Town Rawalpindi,33.48,73.07,5,3,For Sale,Marla,5,3.57,3.10,4.14,2.39
House,8700000,Bahria Town Rawalpindi,33.48,73.07,3,3,For Sale,Marla,5,3.57,3.10,4.14,2.39
House,8800000,Bahria Town Rawalpindi,33.48,73.07,3,3,For Sale,Marla,5,3.57,3.10,4.14,2.39
House,8800000,Bahria Town Rawalpindi,33.48,73.07,5,4,For Sale,Marla,5,3.57,3.10,4.14,2.39
House,8800000,Bahria Town Rawalpindi,33.48,73.07,4,3,For Sale,Marla,5,3.57,3.10,4.14,2.39
House,8800000,Bahria Town Rawalpindi,33.48,73.07,3,3,For Sale,Marla,5,3.57,3.10,4.14,2.39
House,9000000,Bahria Town Rawalpindi,33.48,73.07,4,3,For Sale,Marla,5,3.57,3.10,4.14,2.39
